ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.4561102844002,-1038.583318941539,4328.969698482413,1451.4561102844002,1451.4561102844002,96.36920582701795,96.36920582701795,96.36920582701795,419.7306527776177,419.7306527776177,419.7306527776177,-323.36144695059966,-323.36144695059966,-323.36144695059966,0.0,0.0,0.0,1547.8253161114183
2014-01-04,1451.5746029519546,-1535.064217059825,3571.135060055765,1451.5746029519546,1451.5746029519546,-399.0173698491547,-399.0173698491547,-399.0173698491547,21.429347563728935,21.429347563728935,21.429347563728935,-420.44671741288363,-420.44671741288363,-420.44671741288363,0.0,0.0,0.0,1052.5572331028
2014-01-05,1451.6930956195094,-1357.5048882881485,3947.02594549985,1451.6930956195094,1451.6930956195094,-307.3607451529669,-307.3607451529669,-307.3607451529669,203.61687811427356,203.61687811427356,203.61687811427356,-510.9776232672404,-510.9776232672404,-510.9776232672404,0.0,0.0,0.0,1144.3323504665425
2014-01-06,1451.8115882870638,-1459.2046523982892,3743.789975412027,1451.8115882870638,1451.8115882870638,-182.1293508426485,-182.1293508426485,-182.1293508426485,411.6222281727609,411.6222281727609,411.6222281727609,-593.7515790154096,-593.7515790154096,-593.7515790154096,0.0,0.0,0.0,1269.6822374444153
2014-01-07,1451.9300809546185,-2165.272226261442,3446.6097494019245,1451.9300809546185,1451.9300809546185,-839.7212279957603,-839.7212279957603,-839.7212279957603,-172.00824769121178,-172.00824769121178,-172.00824769121178,-667.7129803045483,-667.7129803045483,-667.7129803045483,0.0,0.0,0.0,612.2088529588582
2014-01-09,1452.1670662897277,-1945.7133920104986,3613.371721544864,1452.1670662897277,1452.1670662897277,-629.8569034046877,-629.8569034046877,-629.8569034046877,156.0037975517444,156.0037975517444,156.0037975517444,-785.8607009564321,-785.8607009564321,-785.8607009564321,0.0,0.0,0.0,822.31016288504
2014-01-10,1452.2855589572823,-1709.8489009111174,3906.1412097569146,1452.2855589572823,1452.2855589572823,-409.1517202638204,-409.1517202638204,-409.1517202638204,419.7306527781321,419.7306527781321,419.7306527781321,-828.8823730419524,-828.8823730419524,-828.8823730419524,0.0,0.0,0.0,1043.133838693462
2014-01-11,1452.404051624837,-2096.3456725322903,3518.1507465894842,1452.404051624837,1452.404051624837,-839.3634422607398,-839.3634422607398,-839.3634422607398,21.429347564325404,21.429347564325404,21.429347564325404,-860.7927898250651,-860.7927898250651,-860.7927898250651,0.0,0.0,0.0,613.0406093640971
2014-01-13,1452.6410369599462,-1670.7084737447092,3772.3260286757236,1452.6410369599462,1452.6410369599462,-479.8204534312473,-479.8204534312473,-479.8204534312473,411.6222281724081,411.6222281724081,411.6222281724081,-891.4426816036554,-891.4426816036554,-891.4426816036554,0.0,0.0,0.0,972.8205835286989
2014-01-14,1452.7595296275006,-2263.7366354072437,3328.73446417999,1452.7595296275006,1452.7595296275006,-1062.8570142599701,-1062.8570142599701,-1062.8570142599701,-172.0082476923746,-172.0082476923746,-172.0082476923746,-890.8487665675954,-890.8487665675954,-890.8487665675954,0.0,0.0,0.0,389.90251536753044
2014-01-15,1452.8780222950552,-3236.4258906043465,2100.608295349271,1452.8780222950552,1452.8780222950552,-1920.8597089553393,-1920.8597089553393,-1920.8597089553393,-1040.3946564920327,-1040.3946564920327,-1040.3946564920327,-880.4650524633068,-880.4650524633068,-880.4650524633068,0.0,0.0,0.0,-467.98168666028414
2014-01-16,1452.9965149626098,-1859.7096235417218,3632.1160396681753,1452.9965149626098,1452.9965149626098,-705.1702643328821,-705.1702643328821,-705.1702643328821,156.00379755183218,156.00379755183218,156.00379755183218,-861.1740618847141,-861.1740618847141,-861.1740618847141,0.0,0.0,0.0,747.8262506297277
2014-01-18,1453.233500297719,-2176.6735936151435,3324.5919609110074,1453.233500297719,1453.233500297719,-778.8993278651946,-778.8993278651946,-778.8993278651946,21.42934756342519,21.42934756342519,21.42934756342519,-800.3286754286197,-800.3286754286197,-800.3286754286197,0.0,0.0,0.0,674.3341724325245
2014-01-19,1453.3519929652737,-1783.3698745976214,3434.703631074241,1453.3519929652737,1453.3519929652737,-557.7751272915593,-557.7751272915593,-557.7751272915593,203.616878114557,203.616878114557,203.616878114557,-761.3920054061163,-761.3920054061163,-761.3920054061163,0.0,0.0,0.0,895.5768656737143
2014-01-20,1453.470485632828,-1567.0712470887047,4031.829258692587,1453.470485632828,1453.470485632828,-307.1017094354926,-307.1017094354926,-307.1017094354926,411.6222281733451,411.6222281733451,411.6222281733451,-718.7239376088377,-718.7239376088377,-718.7239376088377,0.0,0.0,0.0,1146.3687761973356
2014-01-21,1453.588978300383,-2090.4573998951223,3265.049086854907,1453.588978300383,1453.588978300383,-845.8905512538079,-845.8905512538079,-845.8905512538079,-172.0082476908144,-172.0082476908144,-172.0082476908144,-673.8823035629935,-673.8823035629935,-673.8823035629935,0.0,0.0,0.0,607.698427046575
2014-01-23,1453.825963635492,-1773.136039380315,3631.7324686939833,1453.825963635492,1453.825963635492,-428.0491813883211,-428.0491813883211,-428.0491813883211,156.00379755308197,156.00379755308197,156.00379755308197,-584.0529789414031,-584.0529789414031,-584.0529789414031,0.0,0.0,0.0,1025.7767822471708
2014-01-26,1454.1814416381558,-1476.8495185735048,3867.8215532490317,1454.1814416381558,1454.1814416381558,-268.4028744499767,-268.4028744499767,-268.4028744499767,203.61687811291966,203.61687811291966,203.61687811291966,-472.01975256289643,-472.01975256289643,-472.01975256289643,0.0,0.0,0.0,1185.778567188179
2014-01-27,1454.2999343057104,-1205.9583400697322,4216.062499990254,1454.2999343057104,1454.2999343057104,-34.630346716888994,-34.630346716888994,-34.630346716888994,411.6222281721397,411.6222281721397,411.6222281721397,-446.25257488902866,-446.25257488902866,-446.25257488902866,0.0,0.0,0.0,1419.6695875888213
2014-01-28,1454.4184269732648,-1883.8455594312777,3589.3881101009774,1454.4184269732648,1454.4184269732648,-600.1608015393556,-600.1608015393556,-600.1608015393556,-172.00824768882904,-172.00824768882904,-172.00824768882904,-428.15255385052643,-428.15255385052643,-428.15255385052643,0.0,0.0,0.0,854.2576254339092
2014-01-30,1454.655412308374,-1846.5078442851482,3889.7414549957284,1454.655412308374,1454.655412308374,-262.08524888998625,-262.08524888998625,-262.08524888998625,156.00379755375073,156.00379755375073,156.00379755375073,-418.089046443737,-418.089046443737,-418.089046443737,0.0,0.0,0.0,1192.570163418388
2014-01-31,1454.7739049759286,-1297.1695481497165,4412.455447312487,1454.7739049759286,1454.7739049759286,-7.386020918880234,-7.386020918880234,-7.386020918880234,419.730652777786,419.730652777786,419.730652777786,-427.1166736966663,-427.1166736966663,-427.1166736966663,0.0,0.0,0.0,1447.3878840570485
